Name,ourReefFish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
CAL 1988,0,0,1,0,1,19,29,29,20,16,9,7,15,12,3,10,6,9,7,9,3,10,3,5,4,1,2,4,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,
CAL 1989,1,2,9,13,18,13,19,19,23,28,19,18,14,18,24,17,10,9,3,4,8,3,1,11,1,8,1,1,5,1,1,1,1,2,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,
CAL 1990,0,0,0,0,1,33,176,266,268,267,233,186,123,99,91,91,70,49,35,40,21,16,29,26,14,15,9,12,3,7,6,10,3,2,6,2,8,0,5,0,0,0,0,,,,,,,,,,,,
CAL 1991,0,0,0,0,3,14,285,472,378,295,174,180,143,115,100,71,47,41,24,24,24,31,21,13,17,18,11,3,13,7,2,3,4,1,1,2,2,0,4,1,0,1,0,,,,,,,,,,,,
CAL 1992,0,0,0,0,0,37,153,248,215,154,107,86,59,33,24,21,11,4,7,7,7,1,5,8,6,0,2,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
CAL 1993,0,0,0,0,2,0,85,172,179,211,192,165,118,93,89,37,58,52,49,26,38,43,7,14,16,9,8,4,3,1,3,1,4,0,1,0,1,7,0,0,0,0,0,,,,,,,,,,,,
CAL 1994,0,0,0,0,0,1,8,154,523,692,550,401,230,201,136,116,130,91,84,40,37,41,35,21,23,16,11,13,7,8,5,3,11,6,3,9,0,0,3,0,0,0,0,,,,,,,,,,,,
CAL 1995,13,10,20,17,0,5,4,132,232,237,185,167,140,153,119,86,77,61,80,36,38,35,28,23,22,10,7,11,8,15,7,4,6,10,1,3,6,0,0,1,0,3,0,,,,,,,,,,,,
CAL 1996,0,0,0,0,0,0,0,15,157,523,445,276,201,163,160,110,119,113,94,66,87,63,50,41,33,24,24,15,14,8,10,4,2,4,4,0,0,0,1,0,0,0,0,,,,,,,,,,,,
CAL 1997,0,0,0,0,1,0,2,0,78,406,388,286,243,212,147,123,112,84,58,50,45,37,22,31,27,25,23,13,10,9,2,4,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,
CAL 1998,0,0,0,0,0,2,2,14,303,1017,878,582,395,294,198,137,126,85,80,62,39,44,39,48,38,33,31,27,18,12,10,12,16,13,12,10,2,1,1,0,0,0,0,,,,,,,,,,,,
CAL 1999,0,0,0,0,0,0,0,11,229,717,716,646,594,482,449,300,257,203,193,128,85,100,67,90,61,64,55,46,36,13,14,15,4,11,5,7,2,1,0,1,0,0,0,,,,,,,,,,,,
